name,type,contact,stage,notes,website
Cyberstarts,vc,,seed,Cyber-focused early stage,https://cyberstarts.com
YL Ventures,vc,,seed,Israel/US cyber focus,https://ylventures.com
Ballistic Ventures,vc,,seed,Cybersecurity-only fund,https://www.ballisticventures.com
SYN Ventures,vc,,seed,Cyber-native fund,https://www.synventures.com
Team8,vc,,seed,Israel security foundry,https://team8.vc
Ten Eleven Ventures,vc,,seed,Cybersecurity specialist,https://www.teneventures.com
Glilot Capital,vc,,seed,Israel tech/cyber,https://www.glilotcapital.com
Hetz Ventures,vc,,seed,Israel early stage,https://hetz.vc
Vesey Ventures,vc,,seed,,https://veseyventures.com
Menlo Ventures,vc,,seed,,https://www.menlovc.com
NFX,vc,,seed,Network effects,https://www.nfx.com
Blumberg Capital,vc,,seed,,https://blumbergcapital.com
TLV Partners,vc,,seed,Israel focus,https://www.tlv.partners
New Era Ventures,vc,,seed,,https://www.neweracap.com
Leaders Fund,vc,,seed,,https://leadersfund.com
Sequoia,vc,,seed,Tier 1 multi-stage,https://www.sequoiacap.com
Accel,vc,,seed,Tier 1 multi-stage,https://www.accel.com
Lightspeed,vc,,seed,Tier 1 multi-stage,https://lsvp.com
Index Ventures,vc,,seed,Tier 1 multi-stage,https://www.indexventures.com
Bessemer,vc,,seed,Strong cyber portfolio,https://www.bvp.com
Felicis,vc,,seed,,https://www.felicis.com
Greylock,vc,,seed,Enterprise focus,https://greylock.com
Insight Partners,vc,,growth,Growth stage,https://www.insightpartners.com
Intel Capital,vc,,seed,Strategic CVC,https://www.intelcapital.com
Notable Ventures,vc,,seed,,https://notablecap.com
Striker Capital,vc,,seed,,https://strikercapital.com
DTC Capital,vc,,seed,,https://www.dtcapital.com
Lama Partners,vc,,seed,,https://lamapartners.com
Vine Ventures,vc,,seed,,https://www.vinevc.com
Jibe Ventures,vc,,seed,,https://www.jibeventures.com
83North,vc,,seed,Israel/Europe,https://www.83north.com
Craft Ventures,vc,,seed,,https://www.craftventures.com
Viola Ventures,vc,,seed,Israel growth,https://www.viola-group.com
F2,vc,,seed,,https://f2vc.com
Holly Ventures,vc,,seed,,https://holly.vc
White Rabbit,vc,,seed,,https://www.whiterabbit.vc
Picture Capital,vc,,seed,,https://picture.capital
Battery Ventures,vc,,seed,,https://www.battery.com
Amiti VC,vc,,seed,,https://amiti.vc
Evolution Equity Partners,vc,,seed,Cyber specialist,https://www.evolutionequity.com
CRV,vc,,seed,,https://www.crv.com
Ibex,vc,,seed,,https://ibexinvestors.com
Cyber Club London,vc,,seed,UK cyber angel network,https://cyberclub.london
Grove Ventures,vc,,seed,Israel deep tech,https://www.grove.vc
Tenable Ventures,vc,,seed,Strategic - Itamar connection,https://www.tenable.com/partners/venture
Stage One,vc,,seed,Israel early,https://www.stageonevc.com
Hanaco,vc,,seed,Israel/US,https://hanacovc.com
Bullet VC,vc,,seed,,https://bullet.vc
Meron Capital,vc,,seed,,https://meroncapital.com
mtf.vc,vc,,seed,,https://mtf.vc
a16z,vc,,seed,Tier 1 enterprise/security,https://a16z.com
Founders Fund,vc,,seed,Wiz/Anduril backers,https://foundersfund.com
Khosla Ventures,vc,,seed,Early cyber bets,https://www.khoslaventures.com
GV,vc,,seed,Google Ventures,https://www.gv.com
Kleiner Perkins,vc,,seed,Tier 1,https://www.kleinerperkins.com
Norwest Venture Partners,vc,,seed,Strong cyber portfolio,https://www.nvp.com
Scale Venture Partners,vc,,seed,Security SaaS,https://www.scalevp.com
ClearSky Security,vc,,seed,Cyber-only fund,https://www.clearskyvc.com
Forgepoint Capital,vc,,seed,Cyber-only,https://www.forgepointcap.com
NightDragon,vc,,seed,Cyber specialist (Dave DeWalt),https://www.nightdragon.com
Paladin Capital Group,vc,,seed,Cyber/dual-use,https://www.paladincapgroup.com
AllegisCyber Capital,vc,,seed,Cyber-focused,https://www.allegiscyber.com
Energy Impact Partners,vc,,seed,Deep tech/cyber arm,https://www.energyimpactpartners.com
Pitango,vc,,seed,Israel multi-stage,https://www.pitango.com
Vintage Investment Partners,vc,,seed,Israel,https://www.vintageip.com
Aleph,vc,,seed,Israel early stage,https://aleph.vc
Magma VC,vc,,seed,Israel early stage,https://www.magmavc.com
Entrée Capital,vc,,seed,Israel/UK,https://entreecap.com
Disruptive AI,vc,,seed,Israel,https://www.disruptive.vc
Awz Ventures,vc,,seed,Israel/Canada cyber,https://www.awz.ca
JVP,vc,,seed,Heavy cyber portfolio,https://www.jvpvc.com
Bright Pixel Capital,vc,,seed,Cyber (formerly Sonae IM),https://brightpixel.capital
iAngels,vc,,seed,Israel syndicate,https://www.iangels.com
OurCrowd,vc,,seed,Israel syndicate platform,https://www.ourcrowd.com
CrowdStrike Falcon Fund,vc,,seed,Strategic CVC,https://www.crowdstrike.com/falcon-fund
Okta Ventures,vc,,seed,Strategic CVC,https://www.okta.com/okta-ventures
Cisco Investments,vc,,seed,Strategic CVC,https://www.ciscoinvestments.com
Microsoft M12,vc,,seed,Strategic CVC,https://m12.vc
Citi Ventures,vc,,seed,Fintech-cyber CVC,https://www.citi.com/ventures
Capital One Ventures,vc,,seed,Fintech-cyber CVC,https://www.capitalone.com/ventures
Shlomo Kramer,angel,,seed,Check Point/Imperva/Cato founder,
Nir Zuk,angel,,seed,Palo Alto Networks founder,
Mickey Boodaei,angel,,seed,Trusteer/Imperva/Transmit,
Rakesh Loonkar,angel,,seed,Trusteer/Transmit,
Assaf Rappaport,angel,,seed,Wiz CEO,
Gili Raanan,angel,,seed,Cyberstarts founder,
Dug Song,angel,,seed,Duo Security founder,
Kevin Mandia,angel,,seed,Mandiant founder,
Travis McPeak,angel,,seed,Resourcely/Netflix sec,
Haroon Meer,angel,,seed,Thinkst Canary,
Rich Mogull,angel,,seed,Securosis,
Sounil Yu,angel,,seed,Cyber Defense Matrix,
Phil Venables,angel,,seed,Google Cloud CISO,
Alex Stamos,angel,,seed,SentinelOne CISO ex-Facebook,
Window Snyder,angel,,seed,Thistle Tech founder,
